"ID" "WGT" "DEP" "DEP_NAME" "COM" "COM_NAME" "ARR" "ARR_NAME" "URBA" "DEP_CHEF" "COM_CHEF" "COM_CHEF_DIST" "DEP_CHEF_DIST" "NAT_CHEF_DIST" "statoc" "tailmen" "locnais" "datnais" "age" "sexe" "etud5" "radio" "telev" "hifi" "parab" "magne" "cddvd" "frigo" "cuisi" "foyam" "ferre" "clima" "venti" "lit" "matel" "faumo" "ordi" "inter" "elgen" "bicyc" "motoc" "voitu" "barqu" "telfix" "telmob" "equip_tot" "equip_acp"
"379621" "04101_037" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "PropInd" 8 "041" 1964 49 "M" "1.Aucun" FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE TRUE TRUE FALSE FALSE FALSE FALSE 3 -0.535304471222606
"379623" "04101_038" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "PropInd" 9 "041" 1947 66 "M" "1.Aucun" TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE TRUE FALSE FALSE FALSE TRUE 4 -0.439299509418815
"379637" "04101_039" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "Locat" 4 "041" 1988 25 "M" "1.Aucun" TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE TRUE 3 -0.439594678185315
"379661" "04101_040" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "Autre" 5 "202" 1983 30 "M" "1.Aucun" TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE TRUE 4 -0.355996871688413
"379693" "04101_041" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "PropFam" 7 "041" 1972 41 "M" "1.Aucun" TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE TRUE 4 -0.355996871688413
"379712" "04101_042" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "PropInd" 6 "041" 1978 35 "M" "2.Primaire" FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE 1 -1.14965912411727
"379714" "04101_043" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "PropInd" 11 "041" 1964 49 "M" "3.Secondaire" TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE TRUE TRUE FALSE FALSE FALSE TRUE 5 -0.0904708641062833
"379723" "04101_044" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "PropFam" 6 "041" 1982 31 "M" "1.Aucun" FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE TRUE 3 -0.606294025719049
"379747" "04101_045" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "PropInd" 6 "041" 1957 56 "M" "1.Aucun" TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE TRUE TRUE FALSE FALSE FALSE TRUE 5 -0.0904708641062833
"379761" "04101_046" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "PropInd" 29 "041" 1957 56 "M" "1.Aucun" TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE TRUE TRUE FALSE FALSE FALSE TRUE 5 -0.0904708641062833
"379780" "04101_047" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "PropFam" 4 "041" 1972 41 "M" "3.Secondaire" FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE 1 -0.95541783979808
"379782" "04101_048" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "PropInd" 12 "041" 1947 66 "M" "1.Aucun" TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE TRUE TRUE FALSE FALSE FALSE TRUE 5 -0.0904708641062833
"379788" "04101_049" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "Autre" 7 "041" 1978 35 "M" "1.Aucun" TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE TRUE 4 -0.355996871688413
